COD_AUTOR;HOMONIMO;FORMATO;NOME;RESUMOS
24223;;Souza MCKB;michelly cristine karim de brito souza;PIa062
18009;;Souza MDB;Maria Daniela Basso de Souza;PNd146
11074;;Souza MFR;Maria de Fátima Resende Souza;PIc123
21886;;Souza ML;Michele Luz de Souza;PIa132
26254;;Souza MLA;Matheus Lotto de Almeida Souza;PNc109
24674;;Souza MM;marianna matos souza;PIc110
4883;;Souza MMG;Margareth Maria Gomes de Souza;PNe016
25271;H1;Souza MS;Mayara Silva de Souza;PId139
26116;H2;Souza MS;Mário Sérgio de Souza;HA020
3821;;Souza PARS;Patrícia de Almeida Rodrigues da Silva E Souza;PId019, PNb131
12515;;Souza PEA;Paulo Eduardo Alencar de Souza;PNb095, PNb134, PNb237, PNc169, PNc232, PNd217, PNd219
23596;;Souza PG;Paola Gomes Souza;FC014, PIa076, PIb087
2474;;Souza PHC;PAULO HENRIQUE COUTO SOUZA;PIb104
25851;;Souza POC;Paulo Otávio Carmo Souza;PNb216
7356;;Souza PPC;Pedro Paulo Chaves de Souza;PNe055, PNf019
